,DE,DRE
OT,2.06±1.60,1.94±1.60
MMD,2.57±1.78,1.92±1.49
NAB,8.64±6.92,15.98±0.76
GIPW-RF,40340046.98±40816418.79,15289431.04±16883824.59
GIPW-XGB,21.26±2.54,13.99±1.08
GIPW-LR,15.16±3.22,15.78±0.85
G-computation,nan±nan,16.24±0.74
